> Output metrics for KIDSpec Simulation of object Standard_Star_GD71

Date run: 2022-03-18 11:22:15.608281 

> Input Parameters for simulation and instrument: 

Telescope mirror diameter: 800 cm 
Exposure time: 600 s 
Seeing: 0.8 arcseconds 
Airmass: 1.5 

Slit width: 0.60 arcseconds 
Slit length: 0.60 arcseconds 
Slicers: 1 

KIDSpec grating incidence angle: 25.0 deg 
KIDSpec grating blaze angle: 25.0 deg 
KIDSpec grating grooves: 241.5 /mm 

Number of spectral pixels in each arm: 3200 
Pixel plate scale: 0.3 
Chosen MKID energy resolution at fiducial point: 30 
Number of dead spectal pixels in KIDSpec: 0 
MKID energy resolution at fiducial point standard deviation for KIDSpec: 0.00 

Simulation spectrum magnitudes:
U --> 11.752822721067993 
B --> 12.68607547678169 
V --> 13.00013465990375 
R --> 13.215907669250797 
I --> 13.378627749316989 
Z --> 13.425980123828563 
Y --> 13.638804084825624 
J --> 13.756404263189317 
H --> 13.849812388502176 
K --> N/A 
L --> N/A 
M --> N/A 
N --> N/A 
Q --> N/A 
Flux reduced by factor of 1.00000
Spectrum redshifted by 0.000

> Result parameters: 

OPT orders observed: 10 
IR orders observed: 1 
 
Wavelength range tested: 350 - 1900 nm 
Recreated spectrum resolution: 4278 - 5878 
Recreated spectrum resolution average: 5078 +/- 799 
Average residuals: (24.501 +/- 13.121)% 
R value: 0.941 
Average SNR: 237.857 +/- 25.547 
Percentage of photons which were misidentified (total): 0.00335682
Percentage of photons which were misidentified (average per pixel): 0.00000022

Simulation run duration: 0:06:12.700400 (hours:minutes:seconds)

Saturated pixels in OPT/Single arm:
Pixel Number 227 :   973749 / 600000 photons
Pixel Number 335 :   891816 / 600000 photons
Pixel Number 388 :   937140 / 600000 photons
Pixel Number 447 :   618708 / 600000 photons
Pixel Number 543 :   703599 / 600000 photons
Pixel Number 563 :   613366 / 600000 photons
Pixel Number 576 :   771554 / 600000 photons
Pixel Number 679 :   600826 / 600000 photons
Pixel Number 680 :   1325062 / 600000 photons
Pixel Number 689 :   788864 / 600000 photons
Pixel Number 728 :   608132 / 600000 photons
Pixel Number 747 :   613064 / 600000 photons
Pixel Number 754 :   601212 / 600000 photons
Pixel Number 759 :   615709 / 600000 photons
Pixel Number 762 :   716483 / 600000 photons
Pixel Number 763 :   627202 / 600000 photons
Pixel Number 766 :   630565 / 600000 photons
Pixel Number 770 :   605404 / 600000 photons
Pixel Number 772 :   633347 / 600000 photons
Pixel Number 773 :   613824 / 600000 photons
Pixel Number 776 :   609615 / 600000 photons
Pixel Number 778 :   609689 / 600000 photons
Pixel Number 780 :   626293 / 600000 photons
Pixel Number 782 :   627675 / 600000 photons
Pixel Number 785 :   665865 / 600000 photons
Pixel Number 789 :   635565 / 600000 photons
Pixel Number 791 :   618050 / 600000 photons
Pixel Number 792 :   630630 / 600000 photons
Pixel Number 793 :   607546 / 600000 photons
Pixel Number 795 :   610776 / 600000 photons
Pixel Number 796 :   1189752 / 600000 photons
Pixel Number 797 :   635997 / 600000 photons
Pixel Number 798 :   611486 / 600000 photons
Pixel Number 799 :   639821 / 600000 photons
Pixel Number 801 :   639552 / 600000 photons
Pixel Number 802 :   623542 / 600000 photons
Pixel Number 804 :   659818 / 600000 photons
Pixel Number 806 :   624740 / 600000 photons
Pixel Number 807 :   614148 / 600000 photons
Pixel Number 808 :   637574 / 600000 photons
Pixel Number 809 :   611331 / 600000 photons
Pixel Number 810 :   626059 / 600000 photons
Pixel Number 811 :   648062 / 600000 photons
Pixel Number 812 :   610330 / 600000 photons
Pixel Number 813 :   607201 / 600000 photons
