> Output metrics for KIDSpec Simulation of object GD71

Date run: 2022-03-24 14:33:20.353449 

> Input Parameters for simulation and instrument: 

Telescope mirror diameter: 800 cm 
Exposure time: 1800 s 
Seeing: 0.8 arcseconds 
Airmass: 1.5 

Slit width: 0.60 arcseconds 
Slit length: 0.60 arcseconds 
Slicers: 1 

KIDSpec grating incidence angle: 25.0 deg 
KIDSpec grating blaze angle: 25.0 deg 
KIDSpec grating grooves: 173.8 /mm 

Number of spectral pixels in each arm: 3800 
Pixel plate scale: 0.3 
Chosen MKID energy resolution at fiducial point: 40 
Number of dead spectal pixels in KIDSpec: 0 
MKID energy resolution at fiducial point standard deviation for KIDSpec: 0.00 

Simulation spectrum magnitudes:
U --> 11.752822721067993 
B --> 12.68607547678169 
V --> 13.00013465990375 
R --> 13.215907669250797 
I --> 13.378627749316989 
Z --> 13.425980123828563 
Y --> 13.638804084825624 
J --> 13.756404263189317 
H --> 13.849812388502176 
K --> N/A 
L --> N/A 
M --> N/A 
N --> N/A 
Q --> N/A 
Flux reduced by factor of 1.00000
Spectrum redshifted by 0.000

> Result parameters: 

OPT orders observed: 13 
IR orders observed: 1 
 
Wavelength range tested: 350 - 1900 nm 
Recreated spectrum resolution: 7458 - 9358 
Recreated spectrum resolution average: 8408 +/- 949 
Average residuals: (15.323 +/- 7.795)% 
R value: 0.976 
Average SNR: 314.451 +/- 32.009 
Average X-Shooter Noise included SNR: 314.147 
Average SOXS Noise included SNR: 312.675 
Percentage of photons which were misidentified (total): 0.03415814
Percentage of photons which were misidentified (average per pixel): 0.04038964

Simulation run duration: 0:11:58.943864 (hours:minutes:seconds)

Saturated pixels in OPT/Single arm:
Pixel Number 741 :   3455298 / 1800000 photons
Pixel Number 934 :   3156622 / 1800000 photons
Pixel Number 983 :   2019890 / 1800000 photons
Pixel Number 1029 :   3389963 / 1800000 photons
Pixel Number 1048 :   1817888 / 1800000 photons
Pixel Number 1066 :   1809898 / 1800000 photons
Pixel Number 1069 :   1816500 / 1800000 photons
Pixel Number 1075 :   1845283 / 1800000 photons
Pixel Number 1084 :   2015256 / 1800000 photons
Pixel Number 1094 :   2156491 / 1800000 photons
Pixel Number 1111 :   1808545 / 1800000 photons
Pixel Number 1117 :   1850611 / 1800000 photons
Pixel Number 1118 :   1802507 / 1800000 photons
Pixel Number 1121 :   1814195 / 1800000 photons
Pixel Number 1127 :   1836523 / 1800000 photons
Pixel Number 1128 :   1800359 / 1800000 photons
Pixel Number 1130 :   1822905 / 1800000 photons
Pixel Number 1131 :   1961809 / 1800000 photons
Pixel Number 1132 :   2210200 / 1800000 photons
Pixel Number 1133 :   2404357 / 1800000 photons
Pixel Number 1134 :   1871789 / 1800000 photons
Pixel Number 1136 :   1821797 / 1800000 photons
Pixel Number 1137 :   1952829 / 1800000 photons
Pixel Number 1139 :   1880148 / 1800000 photons
Pixel Number 1140 :   1863481 / 1800000 photons
Pixel Number 1143 :   1815730 / 1800000 photons
Pixel Number 1144 :   1811364 / 1800000 photons
Pixel Number 1146 :   1959070 / 1800000 photons
Pixel Number 1149 :   1934795 / 1800000 photons
Pixel Number 1152 :   1923371 / 1800000 photons
Pixel Number 1153 :   1803570 / 1800000 photons
Pixel Number 1155 :   1989350 / 1800000 photons
Pixel Number 1156 :   1818974 / 1800000 photons
Pixel Number 1157 :   2012899 / 1800000 photons
Pixel Number 1159 :   1842690 / 1800000 photons
Pixel Number 1160 :   1863153 / 1800000 photons
Pixel Number 1162 :   1891250 / 1800000 photons
Pixel Number 1163 :   1828105 / 1800000 photons
Pixel Number 1166 :   1957731 / 1800000 photons
Pixel Number 1168 :   2022116 / 1800000 photons
Pixel Number 1170 :   1819124 / 1800000 photons
Pixel Number 1172 :   1853034 / 1800000 photons
Pixel Number 1173 :   1944150 / 1800000 photons
Pixel Number 1174 :   1828920 / 1800000 photons
Pixel Number 1175 :   1844112 / 1800000 photons
Pixel Number 1176 :   1810668 / 1800000 photons
Pixel Number 1177 :   1859713 / 1800000 photons
Pixel Number 1179 :   1804808 / 1800000 photons
Pixel Number 1180 :   1888441 / 1800000 photons
