> Output metrics for KIDSpec Simulation of object Standard_Star_GD71

Date run: 2022-03-08 12:03:47.335595 

> Input Parameters for simulation and instrument: 

Telescope mirror diameter: 800 cm 
Exposure time: 1000 s 
Seeing: 0.8 arcseconds 
Airmass: 1.5 

Slit width: 0.60 arcseconds 
Slit length: 0.60 arcseconds 
Slicers: 1 

OPT arm incidence angle: 25.0 deg 
OPT arm blaze angle: 25.0 deg 
OPT arm grooves: 172.0 /mm 
IR arm incidence angle: 30.0 deg 
IR arm blaze angle: 30.0 deg 
IR arm grooves: 110.0 /mm 

Number of spectral pixels in each arm: 4000 
Pixel plate scale: 0.3 
Chosen MKID energy resolution at fiducial point: 42 
Number of dead spectal pixels in OPT arm: 0 
Number of dead spectal pixels in IR arm: 0 
MKID energy resolution at fiducial point standard deviation for OPT arm: 0.00 
MKID energy resolution at fiducial point standard deviation for IR arm: 0.00 

Simulation spectrum magnitudes:
U --> 11.752822721067993 
B --> 12.68607547678169 
V --> 13.00013465990375 
R --> 13.215907669250797 
I --> 13.378627749316989 
Z --> 13.425980123828563 
Y --> 13.638804084825624 
J --> 13.756404263189317 
H --> 13.849812388502176 
K --> N/A 
L --> N/A 
M --> N/A 
N --> N/A 
Q --> N/A 
Flux reduced by factor of 1.00000
Spectrum redshifted by 0.000

> Result parameters: 

OPT orders observed: 13 
IR orders observed: 1 
 
Wavelength range tested: 350 - 1900 nm 
Recreated spectrum resolution: 7471 - 9470 
Recreated spectrum resolution average: 8471 +/- 999 
Average residuals: (15.641 +/- 7.265)% 
R value: 0.976 
Average SNR: 225.754 +/- 24.848 
Percentage of photons which were misidentified (total): 0.00
Percentage of photons which were misidentified (average per pixel): 0.00

Simulation run duration: 0:11:27.855633 (hours:minutes:seconds)

Saturated pixels in OPT/Single arm:
Pixel Number 673 :   1734535 / 1000000 photons
Pixel Number 865 :   1682034 / 1000000 photons
Pixel Number 914 :   1019987 / 1000000 photons
Pixel Number 960 :   1674129 / 1000000 photons
Pixel Number 1025 :   1031375 / 1000000 photons
Pixel Number 1063 :   1128254 / 1000000 photons
Pixel Number 1064 :   1222300 / 1000000 photons
Pixel Number 1175 :   1033004 / 1000000 photons
Pixel Number 1176 :   1063375 / 1000000 photons
Pixel Number 1181 :   1033564 / 1000000 photons
Pixel Number 1182 :   1001642 / 1000000 photons
Pixel Number 1190 :   1022977 / 1000000 photons
Pixel Number 1193 :   1018882 / 1000000 photons
Pixel Number 1194 :   1051285 / 1000000 photons
Pixel Number 1196 :   1014032 / 1000000 photons
Pixel Number 1199 :   1046591 / 1000000 photons
Pixel Number 1208 :   1054015 / 1000000 photons
Pixel Number 1214 :   1005801 / 1000000 photons
Pixel Number 1221 :   1016601 / 1000000 photons
Pixel Number 1223 :   1003181 / 1000000 photons
Pixel Number 1227 :   1048972 / 1000000 photons
Pixel Number 1229 :   1021502 / 1000000 photons
Pixel Number 1230 :   1065377 / 1000000 photons
Pixel Number 1233 :   1072674 / 1000000 photons
Pixel Number 1235 :   1444689 / 1000000 photons
Pixel Number 1239 :   1012507 / 1000000 photons
Pixel Number 1242 :   1015897 / 1000000 photons
Pixel Number 1245 :   1002440 / 1000000 photons
Pixel Number 1248 :   1009814 / 1000000 photons
Pixel Number 1249 :   1010180 / 1000000 photons
Pixel Number 1250 :   1038859 / 1000000 photons
Pixel Number 1251 :   1044347 / 1000000 photons
Pixel Number 1253 :   1056511 / 1000000 photons
Pixel Number 1256 :   1004801 / 1000000 photons
Pixel Number 1257 :   1056626 / 1000000 photons
Pixel Number 1259 :   1052164 / 1000000 photons
Pixel Number 1260 :   1142405 / 1000000 photons
Pixel Number 1262 :   1023870 / 1000000 photons
Pixel Number 1265 :   1013343 / 1000000 photons
Pixel Number 1266 :   1027079 / 1000000 photons
Pixel Number 1268 :   1040221 / 1000000 photons
Pixel Number 1269 :   1036256 / 1000000 photons
Pixel Number 1270 :   1212603 / 1000000 photons
Pixel Number 1271 :   1014343 / 1000000 photons
Pixel Number 1272 :   1078137 / 1000000 photons
Pixel Number 1275 :   1097447 / 1000000 photons
Pixel Number 1278 :   1082587 / 1000000 photons
Pixel Number 1280 :   1057725 / 1000000 photons
Pixel Number 1283 :   1005209 / 1000000 photons
Pixel Number 1286 :   1077099 / 1000000 photons
Pixel Number 1287 :   1067444 / 1000000 photons
Pixel Number 1289 :   1064517 / 1000000 photons
Pixel Number 1290 :   1112382 / 1000000 photons
Pixel Number 1292 :   1030604 / 1000000 photons
Pixel Number 1293 :   1050638 / 1000000 photons
Pixel Number 1294 :   1013877 / 1000000 photons
Pixel Number 1295 :   1497394 / 1000000 photons
Pixel Number 1296 :   1184555 / 1000000 photons
Pixel Number 1298 :   1128454 / 1000000 photons
Pixel Number 1299 :   1040797 / 1000000 photons
Pixel Number 1301 :   1039677 / 1000000 photons
Pixel Number 1302 :   1160118 / 1000000 photons
Pixel Number 1303 :   1098383 / 1000000 photons
Pixel Number 1304 :   1019044 / 1000000 photons
Pixel Number 1305 :   1153504 / 1000000 photons
Pixel Number 1307 :   1037415 / 1000000 photons
Pixel Number 1308 :   1103613 / 1000000 photons
Pixel Number 1309 :   1053987 / 1000000 photons
Pixel Number 1310 :   1004606 / 1000000 photons
Pixel Number 1311 :   1173724 / 1000000 photons
Pixel Number 1312 :   1018048 / 1000000 photons
Pixel Number 1313 :   1051951 / 1000000 photons
Pixel Number 1314 :   1031489 / 1000000 photons
Pixel Number 1315 :   1000053 / 1000000 photons
Pixel Number 1316 :   1077610 / 1000000 photons
Pixel Number 1317 :   1121622 / 1000000 photons
Pixel Number 1318 :   1035832 / 1000000 photons
Pixel Number 1319 :   1025854 / 1000000 photons
Pixel Number 1320 :   1137238 / 1000000 photons
Pixel Number 1322 :   1116535 / 1000000 photons
Pixel Number 1323 :   1071327 / 1000000 photons
Pixel Number 1324 :   1033815 / 1000000 photons
Pixel Number 1325 :   1129972 / 1000000 photons
Pixel Number 1326 :   1118485 / 1000000 photons
Pixel Number 1328 :   1059793 / 1000000 photons
Pixel Number 1329 :   1150533 / 1000000 photons
Pixel Number 1331 :   1194133 / 1000000 photons
Pixel Number 1332 :   1118189 / 1000000 photons
Pixel Number 1334 :   1059010 / 1000000 photons
Pixel Number 1335 :   1107659 / 1000000 photons
Pixel Number 1337 :   1061504 / 1000000 photons
Pixel Number 1338 :   1231133 / 1000000 photons
Pixel Number 1339 :   1024006 / 1000000 photons
Pixel Number 1340 :   1066910 / 1000000 photons
Pixel Number 1341 :   1117435 / 1000000 photons
Pixel Number 1342 :   1108379 / 1000000 photons
Pixel Number 1344 :   1296427 / 1000000 photons
Pixel Number 1345 :   1147525 / 1000000 photons
Pixel Number 1347 :   1193610 / 1000000 photons
Pixel Number 1348 :   1033225 / 1000000 photons
Pixel Number 1349 :   1110863 / 1000000 photons
Pixel Number 1350 :   1070888 / 1000000 photons
Pixel Number 1352 :   1132400 / 1000000 photons
Pixel Number 1353 :   1061198 / 1000000 photons
Pixel Number 1354 :   1085473 / 1000000 photons
Pixel Number 1355 :   1101861 / 1000000 photons
Pixel Number 1356 :   1158613 / 1000000 photons
Pixel Number 1357 :   1046698 / 1000000 photons
Pixel Number 1358 :   1120123 / 1000000 photons
Pixel Number 1359 :   1174307 / 1000000 photons
Pixel Number 1360 :   1007028 / 1000000 photons
Pixel Number 1361 :   1138229 / 1000000 photons
Pixel Number 1362 :   1071363 / 1000000 photons
Pixel Number 1364 :   1027819 / 1000000 photons
Pixel Number 1365 :   1155861 / 1000000 photons
Pixel Number 1367 :   1124044 / 1000000 photons
Pixel Number 1368 :   1145477 / 1000000 photons
Pixel Number 1370 :   1162377 / 1000000 photons
Pixel Number 1371 :   1138010 / 1000000 photons
Pixel Number 1372 :   1208200 / 1000000 photons
Pixel Number 1374 :   1198774 / 1000000 photons
Pixel Number 1375 :   1082027 / 1000000 photons
Pixel Number 1376 :   1100000 / 1000000 photons
Pixel Number 1377 :   1180798 / 1000000 photons
Pixel Number 1378 :   1082337 / 1000000 photons
Pixel Number 1379 :   1095263 / 1000000 photons
Pixel Number 1380 :   1158042 / 1000000 photons
Pixel Number 1382 :   1081216 / 1000000 photons
Pixel Number 1383 :   1143867 / 1000000 photons
Pixel Number 1384 :   1096460 / 1000000 photons
Pixel Number 1385 :   1098797 / 1000000 photons
Pixel Number 1386 :   1117918 / 1000000 photons
Pixel Number 1387 :   1045819 / 1000000 photons
Pixel Number 1388 :   1055939 / 1000000 photons
Pixel Number 1389 :   1076232 / 1000000 photons
Pixel Number 1390 :   1077500 / 1000000 photons
Pixel Number 1391 :   1081411 / 1000000 photons
Pixel Number 1392 :   1141201 / 1000000 photons
Pixel Number 1393 :   1093651 / 1000000 photons
Pixel Number 1394 :   1163215 / 1000000 photons
Pixel Number 1395 :   1186694 / 1000000 photons
Pixel Number 1397 :   1148540 / 1000000 photons
Pixel Number 1398 :   1216032 / 1000000 photons
Pixel Number 1399 :   1124743 / 1000000 photons
Pixel Number 1400 :   1130599 / 1000000 photons
Pixel Number 1401 :   1208930 / 1000000 photons
Pixel Number 1402 :   1042640 / 1000000 photons
Pixel Number 1403 :   1068269 / 1000000 photons
Pixel Number 1404 :   1215980 / 1000000 photons
Pixel Number 1405 :   1125068 / 1000000 photons
Pixel Number 1406 :   1060740 / 1000000 photons
Pixel Number 1407 :   1199570 / 1000000 photons
Pixel Number 1408 :   1109882 / 1000000 photons
Pixel Number 1409 :   1035242 / 1000000 photons
Pixel Number 1410 :   1090108 / 1000000 photons
Pixel Number 1411 :   1087800 / 1000000 photons
Pixel Number 1412 :   1059643 / 1000000 photons
Pixel Number 1413 :   1211729 / 1000000 photons
Pixel Number 1414 :   1139674 / 1000000 photons
Pixel Number 1415 :   1099427 / 1000000 photons
Pixel Number 1416 :   1197432 / 1000000 photons
Pixel Number 1417 :   1137051 / 1000000 photons
Pixel Number 1418 :   1039130 / 1000000 photons
Pixel Number 1419 :   1125165 / 1000000 photons
Pixel Number 1420 :   1060035 / 1000000 photons
Pixel Number 1421 :   1143896 / 1000000 photons
Pixel Number 1422 :   1060101 / 1000000 photons
Pixel Number 1423 :   1141474 / 1000000 photons
Pixel Number 1424 :   1202541 / 1000000 photons
Pixel Number 1425 :   1077971 / 1000000 photons
Pixel Number 1426 :   1150147 / 1000000 photons
Pixel Number 1427 :   1183563 / 1000000 photons
Pixel Number 1428 :   1242769 / 1000000 photons
Pixel Number 1429 :   1080560 / 1000000 photons
Pixel Number 1430 :   1211587 / 1000000 photons
Pixel Number 1431 :   1131297 / 1000000 photons
Pixel Number 1432 :   1145080 / 1000000 photons
Pixel Number 1433 :   1087917 / 1000000 photons
Pixel Number 1434 :   1141209 / 1000000 photons
Pixel Number 1435 :   1081198 / 1000000 photons
Pixel Number 1436 :   1082279 / 1000000 photons
Pixel Number 1437 :   1232734 / 1000000 photons
