> Output metrics for KIDSpec Simulation of object GD71

Date run: 2022-03-24 11:04:49.334511 

> Input Parameters for simulation and instrument: 

Telescope mirror diameter: 800 cm 
Exposure time: 1800 s 
Seeing: 0.8 arcseconds 
Airmass: 1.5 

Slit width: 0.60 arcseconds 
Slit length: 0.60 arcseconds 
Slicers: 1 

KIDSpec grating incidence angle: 25.0 deg 
KIDSpec grating blaze angle: 25.0 deg 
KIDSpec grating grooves: 278.0 /mm 

Number of spectral pixels in each arm: 4000 
Pixel plate scale: 0.3 
Chosen MKID energy resolution at fiducial point: 25 
Number of dead spectal pixels in KIDSpec: 0 
MKID energy resolution at fiducial point standard deviation for KIDSpec: 0.00 

Simulation spectrum magnitudes:
U --> 11.752822721067993 
B --> 12.68607547678169 
V --> 13.00013465990375 
R --> 13.215907669250797 
I --> 13.378627749316989 
Z --> 13.425980123828563 
Y --> 13.638804084825624 
J --> 13.756404263189317 
H --> 13.849812388502176 
K --> N/A 
L --> N/A 
M --> N/A 
N --> N/A 
Q --> N/A 
Flux reduced by factor of 1.00000
Spectrum redshifted by 0.000

> Result parameters: 

OPT orders observed: 9 
IR orders observed: 1 
 
Wavelength range tested: 350 - 1900 nm 
Recreated spectrum resolution: 3955 - 5954 
Recreated spectrum resolution average: 4954 +/- 999 
Average residuals: (21.615 +/- 12.824)% 
R value: 0.946 
Average SNR: 387.910 +/- 49.602 
Average X-Shooter Noise included SNR: 387.665 
Average SOXS Noise included SNR: 386.464 
Percentage of photons which were misidentified (total): 0.03627824
Percentage of photons which were misidentified (average per pixel): 0.03762593

Simulation run duration: 0:09:28.327850 (hours:minutes:seconds)

Saturated pixels in OPT/Single arm:
Pixel Number 1234 :   1827413 / 1800000 photons
Pixel Number 1245 :   1831195 / 1800000 photons
Pixel Number 1249 :   1821861 / 1800000 photons
Pixel Number 1256 :   1870399 / 1800000 photons
Pixel Number 1260 :   1865068 / 1800000 photons
Pixel Number 1271 :   1801130 / 1800000 photons
Pixel Number 1278 :   1834904 / 1800000 photons
Pixel Number 1280 :   1801655 / 1800000 photons
Pixel Number 1282 :   1823837 / 1800000 photons
Pixel Number 1289 :   1843081 / 1800000 photons
Pixel Number 1290 :   1847340 / 1800000 photons
Pixel Number 1297 :   1894196 / 1800000 photons
Pixel Number 1299 :   1806428 / 1800000 photons
Pixel Number 1301 :   1802915 / 1800000 photons
Pixel Number 1307 :   1831770 / 1800000 photons
Pixel Number 1308 :   1868488 / 1800000 photons
Pixel Number 1312 :   1835116 / 1800000 photons
Pixel Number 1314 :   1899503 / 1800000 photons
Pixel Number 1315 :   1953818 / 1800000 photons
Pixel Number 1316 :   2057260 / 1800000 photons
Pixel Number 1317 :   1802217 / 1800000 photons
Pixel Number 1319 :   1897816 / 1800000 photons
Pixel Number 1322 :   1857034 / 1800000 photons
Pixel Number 1323 :   1903083 / 1800000 photons
Pixel Number 1326 :   1853291 / 1800000 photons
Pixel Number 1327 :   1992614 / 1800000 photons
Pixel Number 1329 :   1874651 / 1800000 photons
Pixel Number 1330 :   2047034 / 1800000 photons
Pixel Number 1334 :   2012957 / 1800000 photons
Pixel Number 1335 :   1911936 / 1800000 photons
Pixel Number 1337 :   1873133 / 1800000 photons
Pixel Number 1339 :   1932129 / 1800000 photons
Pixel Number 1340 :   1989362 / 1800000 photons
Pixel Number 1341 :   1959379 / 1800000 photons
Pixel Number 1342 :   1999069 / 1800000 photons
